Élément statistique;1er niveau de détail;Temps;Unité de mesure;Valeur numérique;Note
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);oct-17;M$ enchaînés de 2012;1619.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);nov-17;M$ enchaînés de 2012;1498.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);déc-17;M$ enchaînés de 2012;1530.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);janv-18;M$ enchaînés de 2012;1536.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);févr-18;M$ enchaînés de 2012;1471.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);mars-18;M$ enchaînés de 2012;1595.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);avr-18;M$ enchaînés de 2012;1559.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);mai-18;M$ enchaînés de 2012;1653.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);juin-18;M$ enchaînés de 2012;1630.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);juil-18;M$ enchaînés de 2012;1636.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);août-18;M$ enchaînés de 2012;1628.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);sept-18;M$ enchaînés de 2012;1594;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);oct-18;M$ enchaînés de 2012;1755.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);nov-18;M$ enchaînés de 2012;1636.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);déc-18;M$ enchaînés de 2012;1617.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);janv-19;M$ enchaînés de 2012;1510.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);févr-19;M$ enchaînés de 2012;1577.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);mars-19;M$ enchaînés de 2012;1512.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);avr-19;M$ enchaînés de 2012;1603.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);mai-19;M$ enchaînés de 2012;1607.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);juin-19;M$ enchaînés de 2012;1602;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);juil-19;M$ enchaînés de 2012;1491;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);août-19;M$ enchaînés de 2012;1434.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);sept-19;M$ enchaînés de 2012;1572.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);oct-19;M$ enchaînés de 2012;1409.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);nov-19;M$ enchaînés de 2012;1534.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);déc-19;M$ enchaînés de 2012;1505.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);janv-20;M$ enchaînés de 2012;1458.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);févr-20;M$ enchaînés de 2012;1503.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);mars-20;M$ enchaînés de 2012;1190.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);avr-20;M$ enchaînés de 2012;633.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);mai-20;M$ enchaînés de 2012;1294.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);juin-20;M$ enchaînés de 2012;1324.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);juil-20;M$ enchaînés de 2012;1324;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);août-20;M$ enchaînés de 2012;1546.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);sept-20;M$ enchaînés de 2012;1407;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);oct-20;M$ enchaînés de 2012;1446.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);nov-20;M$ enchaînés de 2012;1510.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);déc-20;M$ enchaînés de 2012;1519.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);janv-21;M$ enchaînés de 2012;1386.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);févr-21;M$ enchaînés de 2012;1497.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);mars-21;M$ enchaînés de 2012;1603.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);avr-21;M$ enchaînés de 2012;1674.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);mai-21;M$ enchaînés de 2012;1595.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);juin-21;M$ enchaînés de 2012;1637.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);juil-21;M$ enchaînés de 2012;1535.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);août-21;M$ enchaînés de 2012;1597.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);sept-21;M$ enchaînés de 2012;1512.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);oct-21;M$ enchaînés de 2012;1478.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de meubles et de produits connexes (337);nov-21;M$ enchaînés de 2012;1471.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);janv-17;M$ enchaînés de 2012;1239.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);févr-17;M$ enchaînés de 2012;1246.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);mars-17;M$ enchaînés de 2012;1263.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);avr-17;M$ enchaînés de 2012;1161.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);mai-17;M$ enchaînés de 2012;1190.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);juin-17;M$ enchaînés de 2012;1171.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);juil-17;M$ enchaînés de 2012;1245.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);août-17;M$ enchaînés de 2012;1130.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);sept-17;M$ enchaînés de 2012;1125.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);oct-17;M$ enchaînés de 2012;1156.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);nov-17;M$ enchaînés de 2012;1140.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);déc-17;M$ enchaînés de 2012;1107.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);janv-18;M$ enchaînés de 2012;1176.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);févr-18;M$ enchaînés de 2012;1130.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);mars-18;M$ enchaînés de 2012;1138.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);avr-18;M$ enchaînés de 2012;1261.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);mai-18;M$ enchaînés de 2012;1174.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);juin-18;M$ enchaînés de 2012;1204.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);juil-18;M$ enchaînés de 2012;1250.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);août-18;M$ enchaînés de 2012;1207.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);sept-18;M$ enchaînés de 2012;1150.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);oct-18;M$ enchaînés de 2012;1196.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);nov-18;M$ enchaînés de 2012;1230.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);déc-18;M$ enchaînés de 2012;1241;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);janv-19;M$ enchaînés de 2012;1420.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);févr-19;M$ enchaînés de 2012;1080.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);mars-19;M$ enchaînés de 2012;1226.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);avr-19;M$ enchaînés de 2012;1305.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);mai-19;M$ enchaînés de 2012;1186.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);juin-19;M$ enchaînés de 2012;1213.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);juil-19;M$ enchaînés de 2012;1230.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);août-19;M$ enchaînés de 2012;1255.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);sept-19;M$ enchaînés de 2012;1230.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);oct-19;M$ enchaînés de 2012;1246.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);nov-19;M$ enchaînés de 2012;1151.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);déc-19;M$ enchaînés de 2012;1160.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);janv-20;M$ enchaînés de 2012;1154.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);févr-20;M$ enchaînés de 2012;1219.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);mars-20;M$ enchaînés de 2012;1062.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);avr-20;M$ enchaînés de 2012;682.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);mai-20;M$ enchaînés de 2012;968.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);juin-20;M$ enchaînés de 2012;1218.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);juil-20;M$ enchaînés de 2012;1166.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);août-20;M$ enchaînés de 2012;1273.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);sept-20;M$ enchaînés de 2012;1211.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);oct-20;M$ enchaînés de 2012;1333.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);nov-20;M$ enchaînés de 2012;1229.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);déc-20;M$ enchaînés de 2012;1283.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);janv-21;M$ enchaînés de 2012;1230;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);févr-21;M$ enchaînés de 2012;1143.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);mars-21;M$ enchaînés de 2012;1557.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);avr-21;M$ enchaînés de 2012;1274.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);mai-21;M$ enchaînés de 2012;1387.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);juin-21;M$ enchaînés de 2012;1623.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);juil-21;M$ enchaînés de 2012;1456.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);août-21;M$ enchaînés de 2012;1286.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);sept-21;M$ enchaînés de 2012;1393.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);oct-21;M$ enchaînés de 2012;1318.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Activités diverses de fabrication (339);nov-21;M$ enchaînés de 2012;1445.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;janv-17;M$ enchaînés de 2012;256042.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;févr-17;M$ enchaînés de 2012;256919.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;mars-17;M$ enchaînés de 2012;257041.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;avr-17;M$ enchaînés de 2012;258734.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;mai-17;M$ enchaînés de 2012;258772.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;juin-17;M$ enchaînés de 2012;258842.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;juil-17;M$ enchaînés de 2012;259851.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;août-17;M$ enchaînés de 2012;260558.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;sept-17;M$ enchaînés de 2012;259996.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;oct-17;M$ enchaînés de 2012;261292.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;nov-17;M$ enchaînés de 2012;262394.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;déc-17;M$ enchaînés de 2012;262791.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;janv-18;M$ enchaînés de 2012;262881.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;févr-18;M$ enchaînés de 2012;263867.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;mars-18;M$ enchaînés de 2012;264729.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;avr-18;M$ enchaînés de 2012;264485.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;mai-18;M$ enchaînés de 2012;266577.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;juin-18;M$ enchaînés de 2012;267070.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;juil-18;M$ enchaînés de 2012;268620.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;août-18;M$ enchaînés de 2012;268539.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;sept-18;M$ enchaînés de 2012;269158.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;oct-18;M$ enchaînés de 2012;270351.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;nov-18;M$ enchaînés de 2012;270480.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;déc-18;M$ enchaînés de 2012;270836.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;janv-19;M$ enchaînés de 2012;271240.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;févr-19;M$ enchaînés de 2012;272027.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;mars-19;M$ enchaînés de 2012;273201.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;avr-19;M$ enchaînés de 2012;273613.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;mai-19;M$ enchaînés de 2012;274347.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;juin-19;M$ enchaînés de 2012;275219.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;juil-19;M$ enchaînés de 2012;275556.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;août-19;M$ enchaînés de 2012;274868.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;sept-19;M$ enchaînés de 2012;275985;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;oct-19;M$ enchaînés de 2012;275915.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;nov-19;M$ enchaînés de 2012;276684.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;déc-19;M$ enchaînés de 2012;277765.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;janv-20;M$ enchaînés de 2012;278233.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;févr-20;M$ enchaînés de 2012;277952.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;mars-20;M$ enchaînés de 2012;250655.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;avr-20;M$ enchaînés de 2012;226251.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;mai-20;M$ enchaînés de 2012;240400.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;juin-20;M$ enchaînés de 2012;254782.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;juil-20;M$ enchaînés de 2012;263136.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;août-20;M$ enchaînés de 2012;265755.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;sept-20;M$ enchaînés de 2012;268951.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;oct-20;M$ enchaînés de 2012;269635.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;nov-20;M$ enchaînés de 2012;270730.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;déc-20;M$ enchaînés de 2012;270115.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;janv-21;M$ enchaînés de 2012;268729.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;févr-21;M$ enchaînés de 2012;272145.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;mars-21;M$ enchaînés de 2012;275733.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;avr-21;M$ enchaînés de 2012;274742.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;mai-21;M$ enchaînés de 2012;275293.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;juin-21;M$ enchaînés de 2012;278230.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;juil-21;M$ enchaînés de 2012;277283.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;août-21;M$ enchaînés de 2012;279628.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;sept-21;M$ enchaînés de 2012;279668.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;oct-21;M$ enchaînés de 2012;280586.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de services;nov-21;M$ enchaînés de 2012;283247.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;janv-17;M$ enchaînés de 2012;18436.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;févr-17;M$ enchaînés de 2012;18789;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;mars-17;M$ enchaînés de 2012;18720.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;avr-17;M$ enchaînés de 2012;18500.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;mai-17;M$ enchaînés de 2012;18383.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;juin-17;M$ enchaînés de 2012;18387.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;juil-17;M$ enchaînés de 2012;18478.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;août-17;M$ enchaînés de 2012;18890.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;sept-17;M$ enchaînés de 2012;18643.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;oct-17;M$ enchaînés de 2012;19004.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;nov-17;M$ enchaînés de 2012;18991.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;déc-17;M$ enchaînés de 2012;19027.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;janv-18;M$ enchaînés de 2012;19154.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;févr-18;M$ enchaînés de 2012;18865.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;mars-18;M$ enchaînés de 2012;19127.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;avr-18;M$ enchaînés de 2012;19106.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;mai-18;M$ enchaînés de 2012;19429.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;juin-18;M$ enchaînés de 2012;19198.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;juil-18;M$ enchaînés de 2012;19785.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;août-18;M$ enchaînés de 2012;19768.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;sept-18;M$ enchaînés de 2012;19502.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;oct-18;M$ enchaînés de 2012;19712.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;nov-18;M$ enchaînés de 2012;19681.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;déc-18;M$ enchaînés de 2012;19250.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;janv-19;M$ enchaînés de 2012;19182.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;févr-19;M$ enchaînés de 2012;19389.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;mars-19;M$ enchaînés de 2012;19791.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;avr-19;M$ enchaînés de 2012;20244.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;mai-19;M$ enchaînés de 2012;20125.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;juin-19;M$ enchaînés de 2012;20485;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;juil-19;M$ enchaînés de 2012;20652.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;août-19;M$ enchaînés de 2012;19935.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;sept-19;M$ enchaînés de 2012;20478.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;oct-19;M$ enchaînés de 2012;19873.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;nov-19;M$ enchaînés de 2012;20049.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;déc-19;M$ enchaînés de 2012;20342.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;janv-20;M$ enchaînés de 2012;20717.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;févr-20;M$ enchaînés de 2012;20273.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;mars-20;M$ enchaînés de 2012;18805.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;avr-20;M$ enchaînés de 2012;15034.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;mai-20;M$ enchaînés de 2012;17199.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;juin-20;M$ enchaînés de 2012;19700.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;juil-20;M$ enchaînés de 2012;20323.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;août-20;M$ enchaînés de 2012;20651.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;sept-20;M$ enchaînés de 2012;21011;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Commerce de gros;oct-20;M$ enchaînés de 2012;20936.2;
