Élément statistique;1er niveau de détail;Temps;Unité de mesure;Valeur numérique;Note
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;mai-19;M$ enchaînés de 2012;104380.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;juin-19;M$ enchaînés de 2012;103013.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;juil-19;M$ enchaînés de 2012;103791.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;août-19;M$ enchaînés de 2012;103537.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;sept-19;M$ enchaînés de 2012;102521.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;oct-19;M$ enchaînés de 2012;103065.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;nov-19;M$ enchaînés de 2012;103289;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;déc-19;M$ enchaînés de 2012;103105.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;janv-20;M$ enchaînés de 2012;103665;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;févr-20;M$ enchaînés de 2012;101350.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;mars-20;M$ enchaînés de 2012;91482.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;avr-20;M$ enchaînés de 2012;69362;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;mai-20;M$ enchaînés de 2012;87370.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;juin-20;M$ enchaînés de 2012;95888.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;juil-20;M$ enchaînés de 2012;98168.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;août-20;M$ enchaînés de 2012;100235.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;sept-20;M$ enchaînés de 2012;101908;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;oct-20;M$ enchaînés de 2012;101029.4;
